0,1,X,X
1,X,2,X
2,X,3,X
3,4,X,X
4,X,X,5
5,X,6,7
6,8,X,9
7,X,X,X
8,X,10,X
9,11,12,X
10,13,X,14
11,15,16,17
12,18,19,X
13,X,X,20
14,21,X,X
15,22,X,X
16,X,23,X
17,24,25,X
18,26,27,28
19,X,X,X
20,X,X,X
21,29,X,X
22,X,X,X
23,30,X,X
24,31,X,X
25,X,32,33
26,X,X,34
27,35,X,X
28,36,X,X
29,X,37,38
30,X,X,39
31,40,X,X
32,41,42,X
33,43,X,X
34,X,44,X
35,45,X,46
36,47,48,X
37,X,X,X
38,49,50,51
39,52,53,X
40,54,X,55
41,56,X,57
42,58,59,X
43,X,X,60
44,X,X,X
45,X,61,X
46,62,63,64
47,X,65,X
48,66,67,X
49,68,69,X
50,X,X,X
51,70,X,71
52,X,X,X
53,X,72,73
54,X,X,X
55,X,X,X
56,74,75,X
57,X,76,X
58,77,X,78
59,X,79,80
60,X,X,X
61,81,X,X
62,X,X,X
63,82,X,83
64,X,X,84
65,85,86,87
66,X,88,X
67,X,89,X
68,X,90,X
69,91,92,X
70,X,X,93
71,94,95,96
72,97,X,X
73,98,99,100
74,101,102,103
75,X,104,105
76,106,107,108
77,109,110,X
78,X,X,111
79,X,112,X
80,X,X,X
81,X,X,113
82,X,114,X
83,X,X,115
84,X,X,116
85,X,X,X
86,X,X,X
87,X,X,X
88,117,X,118
89,X,X,119
90,X,120,121
91,X,X,122
92,123,124,125
93,X,X,X
94,X,126,X
95,X,127,X
96,X,128,129
97,130,131,X
98,132,X,133
99,134,135,136
100,137,138,139
101,X,140,X
102,X,141,X
103,142,X,143
104,X,X,X
105,144,145,146
106,X,147,148
107,X,149,150
108,151,152,153
109,154,X,155
110,X,X,156
111,X,X,X
112,X,X,157
113,X,X,158
114,X,159,X
115,X,X,160
116,161,X,X
117,X,162,X
118,163,X,X
119,164,X,X
120,X,X,X
121,X,X,X
122,165,X,X
123,X,X,X
124,166,X,X
125,X,167,168
126,X,X,X
127,169,X,X
128,170,X,171
129,X,172,173
130,174,X,X
131,X,175,176
132,177,X,X
133,X,178,X
134,179,180,181
135,X,182,183
136,184,185,186
137,X,187,188
138,189,190,191
139,X,X,192
140,193,194,X
141,195,X,X
142,196,197,X
143,198,199,200
144,201,202,X
145,203,204,205
146,206,X,X
147,X,X,207
148,208,X,X
149,X,X,209
150,210,X,211
151,212,X,213
152,214,X,215
153,216,X,217
154,X,X,218
155,219,X,220
156,X,X,221
157,X,222,X
158,X,X,X
159,223,224,X
160,X,225,X
161,X,226,227
162,228,X,229
163,230,X,231
164,X,X,232
165,233,234,235
166,X,X,236
167,237,X,238
168,X,X,239
169,X,240,241
170,X,242,243
171,X,244,245
172,246,247,X
173,X,X,248
174,X,X,249
175,X,X,X
176,X,250,X
177,251,252,253
178,X,X,X
179,254,X,X
180,X,255,256
181,X,257,X
182,258,X,259
183,X,X,260
184,261,262,X
185,263,264,265
186,266,X,267
187,268,269,X
188,X,X,X
189,X,X,270
190,X,271,X
191,272,X,273
192,X,274,X
193,275,X,X
194,276,277,X
195,X,X,X
196,278,279,280
197,X,X,X
198,281,X,X
199,282,X,X
200,X,283,284
201,285,X,286
202,X,X,287
203,288,X,289
204,290,X,291
205,292,293,294
206,295,X,X
207,X,X,296
208,X,297,298
209,X,299,300
210,301,302,303
211,X,X,X
212,X,304,X
213,X,305,X
214,306,X,X
215,X,X,X
216,X,307,X
217,X,308,309
218,310,X,X
219,X,X,311
220,312,313,314
221,X,315,316
222,317,318,X
223,X,319,320
224,321,322,323
225,324,325,326
226,X,X,327
227,X,X,X
228,X,328,329
229,330,X,331
230,X,332,333
231,334,335,X
232,X,336,337
233,338,339,340
234,341,342,343
235,344,345,X
236,X,X,X
237,346,347,X
238,348,349,350
239,351,X,X
240,X,352,X
241,353,X,X
242,X,354,355
243,X,X,356
244,X,357,X
245,X,358,X
246,359,X,360
247,X,361,X
248,362,363,364
249,365,366,367
250,368,369,X
251,370,371,372
252,373,X,374
253,375,376,X
254,X,X,377
255,X,X,378
256,379,380,X
257,X,X,381
258,X,382,383
259,X,384,385
260,X,386,387
261,X,388,X
262,X,389,X
263,390,X,391
264,392,X,X
265,393,394,395
266,396,X,X
267,397,X,398
268,X,399,X
269,400,401,402
270,X,X,403
271,404,405,406
272,X,X,407
273,408,X,X
274,X,409,X
275,410,411,412
276,X,X,X
277,X,413,414
278,415,416,417
279,X,X,418
280,419,420,X
281,X,421,422
282,423,X,424
283,425,426,X
284,X,427,428
285,X,429,X
286,430,431,X
287,432,433,434
288,435,436,X
289,437,X,438
290,439,X,X
291,X,440,441
292,X,442,X
293,X,X,443
294,444,445,446
295,447,X,448
296,X,X,449
297,X,450,451
298,452,453,454
299,X,455,X
300,456,X,X
301,X,X,X
302,457,X,X
303,X,X,X
304,X,X,458
305,459,460,461
306,462,463,X
307,X,464,X
308,X,465,466
309,467,468,X
310,469,470,X
311,471,X,472
312,X,473,X
313,X,474,X
314,X,X,475
315,X,X,X
316,476,X,X
317,X,477,X
318,X,X,X
319,X,X,478
320,479,480,481
321,482,483,484
322,X,485,X
323,X,X,486
324,X,X,X
325,X,487,X
326,X,488,X
327,X,489,X
328,X,X,490
329,X,491,X
330,492,X,X
331,X,493,494
332,X,495,496
333,X,497,X
334,X,498,X
335,499,X,500
336,501,502,X
337,X,503,X
338,504,505,X
339,506,507,508
340,X,X,509
341,510,X,X
342,X,X,X
343,X,X,X
344,511,X,X
345,512,513,514
346,515,516,X
347,517,X,X
348,X,X,X
349,X,X,518
350,519,X,X
351,X,X,X
352,X,X,X
353,520,X,521
354,X,X,522
355,X,X,X
356,X,523,524
357,X,X,X
358,525,X,526
359,X,527,X
360,528,529,X
361,X,X,X
362,X,530,X
363,531,532,533
364,534,X,535
365,536,X,537
366,X,538,539
367,X,540,X
368,541,542,543
369,544,X,X
370,545,546,547
371,548,X,X
372,X,549,X
373,550,551,552
374,X,X,553
375,554,X,555
376,X,X,X
377,X,X,X
378,556,557,558
379,X,X,559
380,560,561,562
381,X,X,563
382,564,565,X
383,X,X,X
384,566,X,X
385,567,568,X
386,X,X,X
387,X,569,570
388,571,572,573
389,X,574,X
390,X,X,X
391,575,576,X
392,577,X,X
393,X,X,578
394,579,580,581
395,X,582,583
396,X,584,585
397,X,586,587
398,588,589,590
399,591,592,X
400,X,593,X
401,X,594,X
402,595,596,597
403,598,599,600
404,601,X,602
405,X,603,604
406,X,605,606
407,607,608,609
408,X,X,X
409,X,X,610
410,X,611,X
411,612,613,614
412,615,616,617
413,X,618,619
414,620,X,621
415,X,X,622
416,623,624,X
417,625,626,X
418,X,X,X
419,627,X,628
420,X,629,X
421,X,X,630
422,631,X,X
423,X,X,632
424,X,633,634
425,X,X,635
426,X,636,637
427,638,X,X
428,X,X,639
429,X,640,641
430,642,X,643
431,644,645,646
432,647,X,X
433,648,X,649
434,X,650,651
435,652,X,653
436,X,654,X
437,655,656,657
438,X,X,658
439,659,X,660
440,661,X,662
441,X,X,663
442,X,664,X
443,665,666,X
444,667,X,X
445,X,668,X
446,669,X,X
447,670,671,X
448,672,X,X
449,673,X,674
450,675,X,X
451,676,677,X
452,X,X,678
453,X,X,679
454,680,681,X
455,X,X,682
456,683,684,X
457,685,686,687
458,688,689,690
459,691,X,X
460,692,693,X
461,X,X,694
462,X,695,696
463,697,698,X
464,699,X,X
465,700,701,702
466,703,704,705
467,X,X,706
468,X,X,707
469,X,X,708
470,709,710,711
471,X,X,X
472,712,X,X
473,713,714,715
474,X,716,717
475,718,X,X
476,719,720,721
477,722,X,X
478,X,X,723
479,724,725,X
480,X,X,726
481,727,X,X
482,X,X,X
483,728,729,X
484,730,731,X
485,X,732,X
486,X,733,X
487,X,X,734
488,X,735,736
489,737,X,738
490,739,X,740
491,X,X,741
492,742,743,X
493,744,745,746
494,X,747,748
495,X,749,X
496,750,751,752
497,753,X,754
498,X,X,X
499,X,755,756
500,757,X,758
501,X,759,760
502,X,X,X
503,761,X,X
504,X,X,762
505,X,X,X
506,763,X,X
507,764,765,X
508,X,766,767
509,768,X,769
510,770,771,X
511,X,X,X
512,772,X,773
513,774,775,X
514,776,777,X
515,X,778,X
516,X,779,780
517,781,782,X
518,X,X,X
519,X,783,X
520,784,X,785
521,X,786,X
522,X,X,787
523,X,788,X
524,789,790,X
525,791,792,X
526,X,793,X
527,794,X,795
528,X,796,797
529,798,X,X
530,799,800,801
531,X,802,X
532,803,804,X
533,X,X,805
534,X,X,X
535,806,X,807
536,808,809,X
537,810,811,X
538,812,X,X
539,X,X,813
540,814,815,X
541,816,X,817
542,X,818,819
543,X,820,X
544,X,X,821
545,X,822,823
546,824,825,X
547,826,827,X
548,X,828,X
549,X,X,X
550,X,X,X
551,X,829,X
552,X,830,X
553,X,831,832
554,X,833,834
555,835,836,X
556,X,X,X
557,837,838,839
558,X,X,840
559,X,X,841
560,X,X,X
561,X,X,842
562,843,844,845
563,846,847,848
564,X,849,850
565,X,X,X
566,X,851,X
567,X,852,X
568,X,X,X
569,853,854,X
570,X,X,X
571,X,X,X
572,855,X,X
573,856,857,858
574,X,X,X
575,X,859,X
576,X,X,860
577,X,861,862
578,X,863,X
579,864,865,866
580,X,X,X
581,867,868,X
582,X,869,870
583,X,X,871
584,872,X,873
585,X,874,X
586,875,X,X
587,X,876,877
588,X,878,X
589,X,X,879
590,X,X,X
591,880,X,881
592,882,883,884
593,885,X,X
594,X,X,X
595,886,887,X
596,X,X,888
597,X,X,X
598,889,X,X
599,890,891,X
600,892,X,X
601,893,894,X
602,X,X,895
603,896,X,897
604,898,899,X
605,X,900,X
606,901,902,903
607,X,X,904
608,905,X,906
609,907,908,X
610,X,909,910
611,911,X,X
612,912,913,914
613,X,X,915
614,916,X,X
615,917,918,919
616,X,X,X
617,X,X,X
618,X,X,X
619,920,921,X
620,X,X,X
621,922,X,923
622,X,924,925
623,X,926,927
624,928,929,930
625,X,931,932
626,933,934,935
627,X,936,X
628,X,X,X
629,X,937,X
630,938,939,X
631,X,X,940
632,X,X,X
633,941,X,X
634,X,942,X
635,943,X,944
636,X,945,946
637,947,X,X
638,948,X,X
639,949,X,X
640,950,X,X
641,X,951,952
642,953,X,954
643,X,X,X
644,955,X,956
645,957,X,958
646,X,959,X
647,960,X,X
648,X,X,961
649,X,X,X
650,962,X,X
651,963,X,X
652,964,X,965
653,966,967,968
654,969,970,X
655,971,972,X
656,X,X,X
657,973,X,X
658,974,975,976
659,977,978,979
660,980,981,X
661,X,X,982
662,X,X,983
663,X,X,X
664,984,X,X
665,985,X,986
666,987,988,X
667,X,X,X
668,X,X,989
669,X,X,X
670,990,991,992
671,X,993,X
672,994,995,996
673,X,997,X
674,X,X,998
675,999,X,X
676,1000,1001,1002
677,X,1003,1004
678,X,1005,1006
679,1007,X,X
680,1008,X,X
681,X,X,X
682,1009,1010,1011
683,X,X,X
684,X,X,X
685,1012,1013,1014
686,1015,1016,X
687,1017,X,1018
688,1019,1020,X
689,1021,1022,X
690,1023,1024,1025
691,X,X,X
692,1026,X,X
693,1027,1028,X
694,1029,X,X
695,1030,1031,X
696,X,1032,X
697,1033,1034,1035
698,X,1036,1037
699,1038,X,1039
700,1040,X,X
701,1041,1042,1043
702,1044,X,1045
703,X,X,1046
704,1047,X,X
705,1048,X,X
706,1049,X,X
707,X,1050,X
708,X,X,X
709,1051,X,X
710,X,1052,X
711,1053,X,1054
712,X,1055,X
713,1056,X,1057
714,1058,X,X
715,X,X,X
716,1059,X,1060
717,1061,1062,X
718,1063,1064,1065
719,X,1066,1067
720,X,1068,1069
721,X,1070,1071
722,1072,X,X
723,1073,1074,X
724,1075,1076,X
725,X,1077,1078
726,1079,1080,X
727,1081,1082,1083
728,X,X,X
729,1084,1085,1086
730,1087,X,1088
731,X,1089,1090
732,1091,1092,1093
733,X,X,1094
734,X,X,X
735,X,X,X
736,X,1095,1096
737,1097,X,X
738,1098,1099,X
739,1100,1101,1102
740,X,X,1103
741,X,1104,1105
742,1106,1107,X
743,1108,X,X
744,X,X,X
745,X,1109,1110
746,X,1111,X
747,1112,1113,X
748,X,X,X
749,X,1114,1115
750,1116,1117,X
751,1118,X,X
752,1119,X,1120
753,X,X,X
754,1121,1122,1123
755,1124,X,X
756,1125,1126,1127
757,X,X,X
758,X,1128,1129
759,X,1130,1131
760,1132,X,X
761,1133,X,X
762,X,X,1134
763,1135,X,X
764,X,1136,X
765,1137,X,1138
766,X,1139,X
767,1140,X,1141
768,X,1142,1143
769,1144,X,X
770,1145,X,X
771,1146,1147,1148
772,1149,1150,X
773,1151,1152,X
774,X,1153,1154
775,X,1155,1156
776,1157,1158,1159
777,X,1160,X
778,X,1161,X
779,1162,X,X
780,X,X,1163
781,1164,X,1165
782,X,1166,X
783,1167,1168,X
784,X,X,1169
785,X,X,1170
786,X,X,1171
787,X,1172,X
788,1173,1174,X
789,X,1175,X
790,X,1176,1177
791,X,1178,1179
792,1180,X,X
793,1181,1182,X
